縣市,鄉鎮市區,098宅數,098比率(%)
臺中市,全區,105083,11.45
臺中市,中區,2679,28.23
臺中市,東區,3610,13.63
臺中市,南區,5499,10.61
臺中市,西區,6846,13.09
臺中市,北區,10335,15.15
臺中市,西屯區,11923,12.84
臺中市,南屯區,5989,10.63
臺中市,北屯區,10082,11.29
臺中市,豐原區,4605,9.46
臺中市,東勢區,1635,11.65
臺中市,大甲區,1887,8.80
臺中市,清水區,2640,11.16
臺中市,沙鹿區,2959,11.16
臺中市,梧棲區,1775,11.13
臺中市,后里區,1307,9.14
臺中市,神岡區,1387,7.87
臺中市,潭子區,3124,9.19
臺中市,大雅區,2437,9.20
臺中市,新社區,797,11.48
臺中市,石岡區,354,9.56
臺中市,外埔區,923,10.55
臺中市,大安區,487,8.96
臺中市,烏日區,2215,10.91
臺中市,大肚區,2046,11.47
臺中市,龍井區,2756,12.00
臺中市,霧峰區,2040,9.93
臺中市,太平區,5800,10.32
臺中市,大里區,6464,10.27
臺中市,和平區,482,19.67
