縣市,鄉鎮市區,105宅數,105比率(%)
臺中市,全區,90871,9.16
臺中市,中區,1960,20.07
臺中市,東區,3288,11.54
臺中市,南區,4909,8.74
臺中市,西區,5488,10.09
臺中市,北區,7353,10.36
臺中市,西屯區,10096,9.49
臺中市,南屯區,5351,8.47
臺中市,北屯區,11059,10.49
臺中市,豐原區,3830,7.59
臺中市,東勢區,1448,10.20
臺中市,大甲區,1612,7.43
臺中市,清水區,2197,8.99
臺中市,沙鹿區,3150,10.07
臺中市,梧棲區,1504,8.82
臺中市,后里區,1116,7.74
臺中市,神岡區,1228,6.77
臺中市,潭子區,2426,6.88
臺中市,大雅區,1971,6.94
臺中市,新社區,823,11.56
臺中市,石岡區,331,8.82
臺中市,外埔區,732,8.17
臺中市,大安區,462,8.56
臺中市,烏日區,2457,10.57
臺中市,大肚區,1637,9.04
臺中市,龍井區,2135,8.97
臺中市,霧峰區,1589,7.53
臺中市,太平區,5009,8.15
臺中市,大里區,5204,7.80
臺中市,和平區,506,20.78
