縣市,鄉鎮市區,103宅數,103比率(%)
臺中市,全區,91409,9.43
臺中市,中區,2313,23.88
臺中市,東區,3267,11.73
臺中市,南區,4966,9.10
臺中市,西區,5754,10.67
臺中市,北區,8353,11.83
臺中市,西屯區,10280,10.05
臺中市,南屯區,5020,8.26
臺中市,北屯區,9350,9.54
臺中市,豐原區,3987,7.89
臺中市,東勢區,1516,10.62
臺中市,大甲區,1768,8.02
臺中市,清水區,2281,9.24
臺中市,沙鹿區,3112,10.33
臺中市,梧棲區,1531,9.21
臺中市,后里區,1271,8.55
臺中市,神岡區,1200,6.58
臺中市,潭子區,2370,6.80
臺中市,大雅區,1911,6.87
臺中市,新社區,798,11.23
臺中市,石岡區,330,8.70
臺中市,外埔區,799,8.86
臺中市,大安區,436,7.94
臺中市,烏日區,2007,9.23
臺中市,大肚區,1683,9.28
臺中市,龍井區,2320,9.71
臺中市,霧峰區,1782,8.41
臺中市,太平區,5119,8.58
臺中市,大里區,5379,8.23
臺中市,和平區,506,20.52
