縣市,鄉鎮市區,村里,105年宅數,105年比例
彰化縣,彰化市,文化里,78,13.19%
彰化縣,彰化市,下?里,164,8.55%
彰化縣,彰化市,興北里,123,15.44%
彰化縣,彰化市,信義里,77,17.63%
彰化縣,彰化市,民生里,99,15.02%
彰化縣,彰化市,陽明里,103,13.63%
彰化縣,彰化市,萬安里,137,9.02%
彰化縣,彰化市,新興里,161,7.68%
彰化縣,彰化市,新華里,92,13.05%
彰化縣,彰化市,龍山里,95,9.76%
彰化縣,彰化市,中山里,37,9.92%
彰化縣,彰化市,中正里,100,13.92%
彰化縣,彰化市,永福里,55,13.25%
彰化縣,彰化市,光復里,52,16.67%
彰化縣,彰化市,光華里,59,15.55%
彰化縣,彰化市,萬壽里,86,18.04%
彰化縣,彰化市,中央里,65,17.46%
彰化縣,彰化市,富貴里,61,15.90%
彰化縣,彰化市,民權里,47,9.26%
彰化縣,彰化市,西興里,159,11.21%
彰化縣,彰化市,西勢里,210,12.90%
彰化縣,彰化市,忠孝里,48,9.87%
彰化縣,彰化市,忠權里,158,11.86%
彰化縣,彰化市,五權里,187,10.16%
彰化縣,彰化市,長樂里,67,14.00%
彰化縣,彰化市,東芳里,111,9.03%
彰化縣,彰化市,南安里,67,9.84%
彰化縣,彰化市,南美里,70,12.09%
彰化縣,彰化市,莿桐里,156,11.85%
彰化縣,彰化市,磚?里,98,9.24%
彰化縣,彰化市,平和里,156,9.01%
彰化縣,彰化市,桃源里,99,11.93%
彰化縣,彰化市,卦山里,121,10.12%
彰化縣,彰化市,東興里,103,13.04%
彰化縣,彰化市,大同里,82,14.43%
彰化縣,彰化市,永生里,90,15.04%
彰化縣,彰化市,華陽里,112,13.51%
彰化縣,彰化市,華北里,89,10.96%
彰化縣,彰化市,南?里,294,9.14%
彰化縣,彰化市,成功里,92,13.41%
彰化縣,彰化市,延和里,153,8.33%
彰化縣,彰化市,南興里,281,9.55%
彰化縣,彰化市,西安里,142,11.27%
彰化縣,彰化市,彰安里,154,12.92%
彰化縣,彰化市,光南里,86,10.23%
彰化縣,彰化市,介壽里,125,11.69%
彰化縣,彰化市,延平里,320,8.74%
彰化縣,彰化市,建寶里,64,6.17%
彰化縣,彰化市,福安里,65,13.15%
彰化縣,彰化市,大竹里,142,10.83%
彰化縣,彰化市,竹中里,80,12.21%
彰化縣,彰化市,安溪里,110,14.43%
彰化縣,彰化市,香山里,108,8.99%
彰化縣,彰化市,牛埔里,72,7.70%
彰化縣,彰化市,福山里,194,7.39%
彰化縣,彰化市,中庄里,116,11.28%
彰化縣,彰化市,三村里,48,13.96%
彰化縣,彰化市,國聖里,109,11.95%
彰化縣,彰化市,寶?里,0,0.00%
彰化縣,彰化市,茄苳里,26,9.09%
彰化縣,彰化市,茄南里,109,10.54%
彰化縣,彰化市,阿夷里,301,8.88%
彰化縣,彰化市,古夷里,80,8.81%
彰化縣,彰化市,復興里,128,7.34%
彰化縣,彰化市,和調里,130,12.03%
彰化縣,彰化市,石牌里,58,16.58%
彰化縣,彰化市,福田里,62,13.79%
彰化縣,彰化市,竹巷里,44,14.37%
彰化縣,彰化市,田中里,46,14.87%
彰化縣,彰化市,快官里,54,12.70%
彰化縣,彰化市,台鳳里,117,7.17%
彰化縣,彰化市,崙平里,316,12.66%
彰化縣,彰化市,向陽里,204,9.15%
彰化縣,鹿港鎮,大有里,85,15.68%
彰化縣,鹿港鎮,中興里,38,13.68%
彰化縣,鹿港鎮,洛津里,52,13.49%
彰化縣,鹿港鎮,順興里,44,12.27%
彰化縣,鹿港鎮,頂厝里,289,10.60%
彰化縣,鹿港鎮,東崎里,196,10.28%
彰化縣,鹿港鎮,埔崙里,176,9.17%
彰化縣,鹿港鎮,東石里,123,7.78%
彰化縣,鹿港鎮,郭厝里,33,14.81%
彰化縣,鹿港鎮,新宮里,42,12.30%
彰化縣,鹿港鎮,玉順里,37,8.24%
彰化縣,鹿港鎮,景福里,79,14.50%
彰化縣,鹿港鎮,泰興里,71,14.43%
彰化縣,鹿港鎮,長興里,23,20.00%
彰化縣,鹿港鎮,龍山里,52,17.91%
彰化縣,鹿港鎮,興化里,51,19.13%
彰化縣,鹿港鎮,菜園里,67,20.75%
彰化縣,鹿港鎮,街尾里,117,12.02%
彰化縣,鹿港鎮,頂番里,206,13.76%
彰化縣,鹿港鎮,頭崙里,108,13.90%
彰化縣,鹿港鎮,廖厝里,166,12.19%
彰化縣,鹿港鎮,溝墘里,173,12.38%
彰化縣,鹿港鎮,草中里,189,15.68%
彰化縣,鹿港鎮,頭南里,118,16.48%
彰化縣,鹿港鎮,山崙里,135,14.43%
彰化縣,鹿港鎮,海埔里,161,11.89%
彰化縣,鹿港鎮,詔安里,86,12.73%
彰化縣,鹿港鎮,洋厝里,111,14.11%
