縣市,鄉鎮市區,113H1宅數,113H1比率(%)
宜蘭縣,全區,30154,15.04
宜蘭縣,宜蘭市,5229,12.37
宜蘭縣,羅東鎮,3485,12.46
宜蘭縣,蘇澳鎮,2364,14.46
宜蘭縣,頭城鎮,2155,16.59
宜蘭縣,礁溪鄉,7616,31.06
宜蘭縣,壯圍鄉,1230,12.80
宜蘭縣,員山鄉,1635,12.62
宜蘭縣,冬山鄉,2340,10.26
宜蘭縣,五結鄉,2515,13.21
宜蘭縣,三星鄉,1358,14.14
宜蘭縣,大同鄉,152,11.78
宜蘭縣,南澳鄉,75,6.52
