縣市,鄉鎮市區,村里,107年第二季宅數
嘉義縣,太保市,太保里,1
嘉義縣,太保市,後庄里,0
嘉義縣,太保市,前潭里,0
嘉義縣,太保市,後潭里,0
嘉義縣,太保市,梅埔里,0
嘉義縣,太保市,春珠里,1
嘉義縣,太保市,崙頂里,0
嘉義縣,太保市,東勢里,0
嘉義縣,太保市,新埤里,0
嘉義縣,太保市,舊埤里,1
嘉義縣,太保市,田尾里,1
嘉義縣,太保市,港尾里,0
嘉義縣,太保市,過溝里,12
嘉義縣,太保市,麻寮里,21
嘉義縣,太保市,南新里,0
嘉義縣,太保市,北新里,0
嘉義縣,太保市,埤鄉里,0
嘉義縣,太保市,安仁里,0
嘉義縣,朴子市,安福里,8
嘉義縣,朴子市,平和里,16
嘉義縣,朴子市,內厝里,14
嘉義縣,朴子市,開元里,0
嘉義縣,朴子市,順天里,3
嘉義縣,朴子市,中正里,0
嘉義縣,朴子市,博厚里,1
嘉義縣,朴子市,文化里,0
嘉義縣,朴子市,永和里,0
嘉義縣,朴子市,竹圍里,10
嘉義縣,朴子市,新寮里,2
嘉義縣,朴子市,?溪里,0
嘉義縣,朴子市,溪口里,0
嘉義縣,朴子市,德興里,0
嘉義縣,朴子市,仁和里,1
嘉義縣,朴子市,大鄉里,0
嘉義縣,朴子市,大葛里,14
嘉義縣,朴子市,佳禾里,0
嘉義縣,朴子市,竹村里,0
嘉義縣,朴子市,崁前里,0
嘉義縣,朴子市,順安里,0
嘉義縣,朴子市,崁後里,0
嘉義縣,朴子市,德家里,0
嘉義縣,朴子市,新庄里,0
嘉義縣,朴子市,梅華里,0
嘉義縣,朴子市,松華里,2
嘉義縣,朴子市,南竹里,0
嘉義縣,布袋鎮,岱江里,0
嘉義縣,布袋鎮,九龍里,0
嘉義縣,布袋鎮,岑海里,0
嘉義縣,布袋鎮,興中里,0
嘉義縣,布袋鎮,光復里,1
嘉義縣,布袋鎮,見龍里,0
嘉義縣,布袋鎮,新厝里,0
嘉義縣,布袋鎮,龍江里,0
嘉義縣,布袋鎮,新岑里,0
嘉義縣,布袋鎮,新民里,0
嘉義縣,布袋鎮,復興里,0
嘉義縣,布袋鎮,好美里,0
嘉義縣,布袋鎮,永安里,0
嘉義縣,布袋鎮,東港里,0
嘉義縣,布袋鎮,江山里,0
嘉義縣,布袋鎮,菜舖里,0
嘉義縣,布袋鎮,考試里,0
嘉義縣,布袋鎮,振寮里,0
嘉義縣,布袋鎮,西安里,0
嘉義縣,布袋鎮,東安里,0
嘉義縣,布袋鎮,中安里,0
嘉義縣,布袋鎮,樹林里,0
嘉義縣,布袋鎮,貴舍里,0
嘉義縣,大林鎮,東林里,1
嘉義縣,大林鎮,西林里,0
嘉義縣,大林鎮,吉林里,0
嘉義縣,大林鎮,平林里,7
嘉義縣,大林鎮,明華里,16
嘉義縣,大林鎮,明和里,1
嘉義縣,大林鎮,排路里,0
嘉義縣,大林鎮,西結里,0
嘉義縣,大林鎮,湖北里,28
嘉義縣,大林鎮,大糖里,0
嘉義縣,大林鎮,大美里,0
嘉義縣,大林鎮,過溪里,10
嘉義縣,大林鎮,中坑里,0
嘉義縣,大林鎮,上林里,0
嘉義縣,大林鎮,中林里,0
嘉義縣,大林鎮,三和里,0
嘉義縣,大林鎮,溝背里,0
嘉義縣,大林鎮,義和里,0
嘉義縣,大林鎮,內林里,0
嘉義縣,大林鎮,三角里,1
嘉義縣,大林鎮,三村里,0
嘉義縣,民雄鄉,東榮村,1
嘉義縣,民雄鄉,中樂村,1
嘉義縣,民雄鄉,西安村,7
嘉義縣,民雄鄉,寮頂村,0
嘉義縣,民雄鄉,福權村,1
嘉義縣,民雄鄉,東湖村,11
嘉義縣,民雄鄉,頂崙村,0
嘉義縣,民雄鄉,菁埔村,1
嘉義縣,民雄鄉,中和村,15
嘉義縣,民雄鄉,平和村,1
