縣市,鄉鎮市區,112H2宅數,112H2比率(%)
澎湖縣,全區,3897,11.00
澎湖縣,馬公市,1673,8.00
澎湖縣,湖西鄉,769,15.00
澎湖縣,白沙鄉,710,23.00
澎湖縣,西嶼鄉,459,15.00
澎湖縣,望安鄉,179,13.00
澎湖縣,七美鄉,107,10.00
