縣市,鄉鎮市區,村里,107年宅數,107年比例
澎湖縣,馬公市,復興里,15,12.36%
澎湖縣,馬公市,長安里,28,11.67%
澎湖縣,馬公市,中央里,32,12.09%
澎湖縣,馬公市,啟明里,29,10.28%
澎湖縣,馬公市,重慶里,38,9.34%
澎湖縣,馬公市,中興里,31,8.27%
澎湖縣,馬公市,光復里,60,7.35%
澎湖縣,馬公市,光榮里,119,6.68%
澎湖縣,馬公市,光明里,60,11.32%
澎湖縣,馬公市,朝陽里,128,6.13%
澎湖縣,馬公市,陽明里,97,9.82%
澎湖縣,馬公市,重光里,47,8.11%
澎湖縣,馬公市,西衛里,133,7.50%
澎湖縣,馬公市,西文里,91,7.83%
澎湖縣,馬公市,東文里,106,7.90%
澎湖縣,馬公市,案山里,37,6.37%
澎湖縣,馬公市,光華里,8,6.35%
澎湖縣,馬公市,前寮里,25,8.47%
澎湖縣,馬公市,石泉里,61,5.97%
澎湖縣,馬公市,菜園里,19,13.33%
澎湖縣,馬公市,東衛里,72,9.13%
澎湖縣,馬公市,安宅里,30,12.00%
澎湖縣,馬公市,烏崁里,48,12.84%
澎湖縣,馬公市,興仁里,48,11.59%
澎湖縣,馬公市,鐵線里,17,8.40%
澎湖縣,馬公市,山水里,58,10.86%
澎湖縣,馬公市,鎖港里,60,6.42%
澎湖縣,馬公市,五德里,24,22.92%
澎湖縣,馬公市,井垵里,14,10.53%
澎湖縣,馬公市,?裡里,45,13.81%
澎湖縣,馬公市,風櫃里,42,9.79%
澎湖縣,馬公市,虎井里,49,22.76%
澎湖縣,馬公市,桶盤里,0,0.00%
澎湖縣,湖西鄉,湖西村,43,10.75%
澎湖縣,湖西鄉,湖東村,35,23.68%
澎湖縣,湖西鄉,青螺村,13,13.56%
澎湖縣,湖西鄉,白坑村,10,12.77%
澎湖縣,湖西鄉,南寮村,64,20.81%
澎湖縣,湖西鄉,北寮村,7,6.67%
澎湖縣,湖西鄉,紅羅村,45,18.12%
澎湖縣,湖西鄉,西溪村,59,26.14%
澎湖縣,湖西鄉,成功村,44,15.03%
澎湖縣,湖西鄉,東石村,12,23.68%
澎湖縣,湖西鄉,中西村,19,18.75%
澎湖縣,湖西鄉,潭邊村,26,21.11%
澎湖縣,湖西鄉,鼎灣村,37,21.17%
澎湖縣,湖西鄉,許家村,19,12.33%
澎湖縣,湖西鄉,沙港村,62,18.03%
澎湖縣,湖西鄉,城北村,25,25.00%
澎湖縣,湖西鄉,太武村,5,18.18%
澎湖縣,湖西鄉,隘門村,34,12.17%
澎湖縣,湖西鄉,林投村,40,11.87%
澎湖縣,湖西鄉,尖山村,22,11.66%
澎湖縣,湖西鄉,龍門村,71,12.47%
澎湖縣,湖西鄉,?葉村,53,19.17%
澎湖縣,白沙鄉,中屯村,48,25.17%
澎湖縣,白沙鄉,講美村,39,16.02%
澎湖縣,白沙鄉,城前村,6,13.04%
澎湖縣,白沙鄉,鎮海村,6,10.26%
澎湖縣,白沙鄉,港子村,45,27.19%
澎湖縣,白沙鄉,岐頭村,29,30.67%
澎湖縣,白沙鄉,小赤村,31,36.36%
澎湖縣,白沙鄉,赤崁村,50,8.54%
澎湖縣,白沙鄉,瓦硐村,41,29.29%
澎湖縣,白沙鄉,後寮村,89,25.41%
澎湖縣,白沙鄉,通梁村,38,11.54%
澎湖縣,白沙鄉,吉貝村,59,15.49%
澎湖縣,白沙鄉,鳥嶼村,32,12.69%
澎湖縣,白沙鄉,員貝村,6,13.16%
澎湖縣,白沙鄉,大倉村,1,3.33%
澎湖縣,西嶼鄉,橫礁村,9,10.94%
澎湖縣,西嶼鄉,合界村,32,19.82%
澎湖縣,西嶼鄉,小門村,14,20.00%
澎湖縣,西嶼鄉,竹灣村,99,25.76%
澎湖縣,西嶼鄉,大池村,36,13.61%
澎湖縣,西嶼鄉,二崁村,8,13.04%
澎湖縣,西嶼鄉,池東村,60,18.50%
澎湖縣,西嶼鄉,池西村,44,26.51%
澎湖縣,西嶼鄉,赤馬村,59,22.16%
澎湖縣,西嶼鄉,內垵村,88,16.34%
澎湖縣,西嶼鄉,外垵村,73,11.49%
澎湖縣,望安鄉,東安村,28,16.81%
澎湖縣,望安鄉,西安村,35,21.98%
澎湖縣,望安鄉,中社村,42,31.88%
澎湖縣,望安鄉,水垵村,42,26.26%
澎湖縣,望安鄉,將軍村,57,18.94%
澎湖縣,望安鄉,東坪村,0,0.00%
澎湖縣,望安鄉,西坪村,0,0.00%
澎湖縣,望安鄉,東吉村,0,0.00%
澎湖縣,望安鄉,花嶼村,0,0.00%
澎湖縣,七美鄉,東湖村,29,23.44%
澎湖縣,七美鄉,西湖村,31,22.08%
澎湖縣,七美鄉,中和村,21,11.70%
澎湖縣,七美鄉,平和村,36,31.15%
澎湖縣,七美鄉,海豐村,26,19.74%
澎湖縣,七美鄉,南港村,52,18.13%
