縣市,鄉鎮市區,村里,107年第一季宅數
新竹縣,竹北市,斗崙里,47
新竹縣,竹北市,鹿場里,109
新竹縣,竹北市,東平里,135
新竹縣,竹北市,中興里,238
新竹縣,竹北市,隘口里,20
新竹縣,竹北市,東海里,0
新竹縣,竹北市,竹北里,287
新竹縣,竹北市,竹仁里,3
新竹縣,竹北市,竹義里,10
新竹縣,竹北市,泰和里,35
新竹縣,竹北市,新社里,20
新竹縣,竹北市,聯興里,2
新竹縣,竹北市,麻園里,2
新竹縣,竹北市,溪州里,25
新竹縣,竹北市,白地里,0
新竹縣,竹北市,新港里,0
新竹縣,竹北市,大義里,0
新竹縣,竹北市,崇義里,5
新竹縣,竹北市,大眉里,0
新竹縣,竹北市,尚義里,2
新竹縣,竹北市,十興里,5
新竹縣,竹北市,新國里,118
新竹縣,竹北市,新庄里,0
新竹縣,竹北市,北崙里,1
新竹縣,竹北市,新崙里,139
新竹縣,竹北市,福德里,2
新竹縣,竹北市,東興里,199
新竹縣,竹北市,北興里,451
新竹縣,竹北市,興安里,2
新竹縣,竹北市,文化里,6
新竹縣,竹北市,中崙里,0
新竹縣,竹東鎮,上坪里,0
新竹縣,竹東鎮,瑞峰里,0
新竹縣,竹東鎮,軟橋里,2
新竹縣,竹東鎮,員崠里,7
新竹縣,竹東鎮,東寧里,9
新竹縣,竹東鎮,上?里,29
新竹縣,竹東鎮,大鄉里,6
新竹縣,竹東鎮,東華里,0
新竹縣,竹東鎮,商華里,0
新竹縣,竹東鎮,竹東里,0
新竹縣,竹東鎮,榮樂里,0
新竹縣,竹東鎮,?林里,0
新竹縣,竹東鎮,仁愛里,23
新竹縣,竹東鎮,五豐里,2
新竹縣,竹東鎮,三重里,53
新竹縣,竹東鎮,頭重里,9
新竹縣,竹東鎮,員山里,0
新竹縣,竹東鎮,柯湖里,0
新竹縣,竹東鎮,二重里,20
新竹縣,竹東鎮,中山里,2
新竹縣,竹東鎮,中正里,47
新竹縣,竹東鎮,南華里,1
新竹縣,竹東鎮,榮華里,65
新竹縣,竹東鎮,忠孝里,15
新竹縣,竹東鎮,陸豐里,0
新竹縣,新埔鎮,內立里,0
新竹縣,新埔鎮,寶石里,0
新竹縣,新埔鎮,文山里,2
新竹縣,新埔鎮,五埔里,0
新竹縣,新埔鎮,四座里,0
新竹縣,新埔鎮,旱坑里,0
新竹縣,新埔鎮,田新里,18
新竹縣,新埔鎮,新埔里,0
新竹縣,新埔鎮,新生里,0
新竹縣,新埔鎮,新民里,14
新竹縣,新埔鎮,上寮里,0
新竹縣,新埔鎮,下寮里,19
新竹縣,新埔鎮,南平里,0
新竹縣,新埔鎮,北平里,0
新竹縣,新埔鎮,巨埔里,0
新竹縣,新埔鎮,照門里,0
新竹縣,新埔鎮,清水里,0
新竹縣,新埔鎮,鹿鳴里,0
新竹縣,新埔鎮,新北里,1
新竹縣,關西鎮,東興里,0
新竹縣,關西鎮,西安里,2
新竹縣,關西鎮,南雄里,0
新竹縣,關西鎮,北斗里,15
新竹縣,關西鎮,仁安里,0
新竹縣,關西鎮,北山里,0
新竹縣,關西鎮,南山里,0
新竹縣,關西鎮,東安里,19
新竹縣,關西鎮,東光里,1
新竹縣,關西鎮,新富里,0
新竹縣,關西鎮,金山里,1
新竹縣,關西鎮,錦山里,0
新竹縣,關西鎮,玉山里,0
新竹縣,關西鎮,大同里,0
新竹縣,關西鎮,石光里,1
新竹縣,關西鎮,上林里,0
新竹縣,關西鎮,新力里,0
新竹縣,關西鎮,南和里,0
新竹縣,關西鎮,東山里,0
新竹縣,關西鎮,南新里,0
新竹縣,關西鎮,東平里,1
新竹縣,湖口鄉,孝勢村,0
新竹縣,湖口鄉,仁勢村,0
新竹縣,湖口鄉,愛勢村,7
新竹縣,湖口鄉,信勢村,33
新竹縣,湖口鄉,中勢村,75
新竹縣,湖口鄉,德盛村,59
新竹縣,湖口鄉,和興村,4
新竹縣,湖口鄉,長嶺村,8
新竹縣,湖口鄉,長安村,0
新竹縣,湖口鄉,湖口村,15
新竹縣,湖口鄉,湖鏡村,1
新竹縣,湖口鄉,湖南村,0
新竹縣,湖口鄉,波羅村,0
新竹縣,湖口鄉,鳳凰村,17
新竹縣,湖口鄉,鳳山村,23
新竹縣,湖口鄉,中興村,29
新竹縣,湖口鄉,信義村,62
新竹縣,湖口鄉,中正村,86
新竹縣,湖口鄉,東興村,5
新竹縣,湖口鄉,勝利村,22
新竹縣,新豐鄉,福興村,8
新竹縣,新豐鄉,後湖村,5
新竹縣,新豐鄉,青埔村,13
新竹縣,新豐鄉,埔和村,0
新竹縣,新豐鄉,瑞興村,26
新竹縣,新豐鄉,坡頭村,0
新竹縣,新豐鄉,中崙村,2
新竹縣,新豐鄉,重興村,35
新竹縣,新豐鄉,新豐村,0
新竹縣,新豐鄉,員山村,6
新竹縣,新豐鄉,松林村,0
新竹縣,新豐鄉,上坑村,0
新竹縣,新豐鄉,鳳坑村,1
新竹縣,新豐鄉,忠孝村,56
新竹縣,新豐鄉,山崎村,25
新竹縣,新豐鄉,松柏村,81
新竹縣,新豐鄉,崎頂村,5
新竹縣,芎林鄉,五龍村,0
新竹縣,芎林鄉,華龍村,0
新竹縣,芎林鄉,秀湖村,0
新竹縣,芎林鄉,永興村,0
新竹縣,芎林鄉,石潭村,0
新竹縣,芎林鄉,新鳳村,1
新竹縣,芎林鄉,中坑村,0
新竹縣,芎林鄉,水坑村,0
新竹縣,芎林鄉,文林村,1
新竹縣,芎林鄉,芎林村,0
新竹縣,芎林鄉,上山村,15
新竹縣,芎林鄉,下山村,1
新竹縣,橫山鄉,橫山村,0
新竹縣,橫山鄉,田寮村,1
新竹縣,橫山鄉,南昌村,0
新竹縣,橫山鄉,豐鄉村,0
新竹縣,橫山鄉,豐田村,1
新竹縣,橫山鄉,內灣村,1
新竹縣,橫山鄉,福興村,1
新竹縣,橫山鄉,沙坑村,0
新竹縣,橫山鄉,新興村,1
新竹縣,橫山鄉,大肚村,6
新竹縣,橫山鄉,力行村,0
新竹縣,北埔鄉,北埔村,0
新竹縣,北埔鄉,南興村,0
新竹縣,北埔鄉,埔尾村,30
新竹縣,北埔鄉,水?村,0
新竹縣,北埔鄉,南埔村,0
新竹縣,北埔鄉,大林村,0
新竹縣,北埔鄉,大湖村,1
新竹縣,北埔鄉,南坑村,0
新竹縣,北埔鄉,外坪村,0
新竹縣,寶山鄉,雙溪村,86
新竹縣,寶山鄉,大崎村,3
新竹縣,寶山鄉,三峰村,1
新竹縣,寶山鄉,新城村,2
新竹縣,寶山鄉,深井村,0
新竹縣,寶山鄉,寶斗村,0
新竹縣,寶山鄉,山湖村,0
新竹縣,寶山鄉,寶山村,0
新竹縣,寶山鄉,油田村,0
新竹縣,寶山鄉,雙新村,0
新竹縣,峨眉鄉,峨眉村,0
新竹縣,峨眉鄉,中盛村,0
新竹縣,峨眉鄉,石井村,0
新竹縣,峨眉鄉,富興村,0
新竹縣,峨眉鄉,七星村,0
新竹縣,峨眉鄉,湖光村,1
新竹縣,尖石鄉,義興村,0
新竹縣,尖石鄉,嘉樂村,0
新竹縣,尖石鄉,新樂村,0
新竹縣,尖石鄉,梅花村,0
新竹縣,尖石鄉,錦屏村,0
新竹縣,尖石鄉,玉峰村,0
新竹縣,尖石鄉,秀巒村,0
新竹縣,五峰鄉,大隘村,1
新竹縣,五峰鄉,花園村,0
新竹縣,五峰鄉,竹林村,0
新竹縣,五峰鄉,桃山村,0
