縣市,鄉鎮市區,109H2宅數,109H2比率(%)
嘉義縣,全區,19685,11.34
嘉義縣,太保市,1724,11.48
嘉義縣,朴子市,1888,12.37
嘉義縣,布袋鎮,1220,13.54
嘉義縣,大林鎮,1472,12.68
嘉義縣,民雄鄉,2737,9.73
嘉義縣,溪口鄉,577,12.95
嘉義縣,新港鄉,1025,10.92
嘉義縣,六腳鄉,836,12.96
嘉義縣,東石鄉,720,10.35
嘉義縣,義竹鄉,615,10.76
嘉義縣,鹿草鄉,478,10.62
嘉義縣,水上鄉,1801,9.58
嘉義縣,中埔鄉,1240,8.50
嘉義縣,竹崎鄉,1338,12.36
嘉義縣,梅山鄉,893,14.48
嘉義縣,番路鄉,751,17.20
嘉義縣,大埔鄉,206,20.28
嘉義縣,阿里山鄉,164,12.24
