縣市,鄉鎮市區,村里,106年宅數,106年比例
嘉義縣,太保市,太保里,127,11.99%
嘉義縣,太保市,後庄里,19,11.61%
嘉義縣,太保市,前潭里,83,14.55%
嘉義縣,太保市,後潭里,95,13.67%
嘉義縣,太保市,梅埔里,44,13.27%
嘉義縣,太保市,春珠里,373,53.58%
嘉義縣,太保市,崙頂里,37,12.56%
嘉義縣,太保市,東勢里,196,20.34%
嘉義縣,太保市,新埤里,69,13.99%
嘉義縣,太保市,舊埤里,228,18.19%
嘉義縣,太保市,田尾里,46,18.27%
嘉義縣,太保市,港尾里,14,9.38%
嘉義縣,太保市,過溝里,188,12.48%
嘉義縣,太保市,麻寮里,262,12.02%
嘉義縣,太保市,南新里,98,13.23%
嘉義縣,太保市,北新里,185,13.07%
嘉義縣,太保市,埤鄉里,40,14.77%
嘉義縣,太保市,安仁里,346,20.31%
嘉義縣,朴子市,安福里,175,16.12%
嘉義縣,朴子市,平和里,128,11.39%
嘉義縣,朴子市,內厝里,70,14.32%
嘉義縣,朴子市,開元里,38,20.25%
嘉義縣,朴子市,順天里,43,14.17%
嘉義縣,朴子市,中正里,50,17.83%
嘉義縣,朴子市,博厚里,83,20.27%
嘉義縣,朴子市,文化里,73,9.20%
嘉義縣,朴子市,永和里,133,12.48%
嘉義縣,朴子市,竹圍里,241,12.43%
嘉義縣,朴子市,新寮里,18,8.67%
嘉義縣,朴子市,?溪里,22,9.38%
嘉義縣,朴子市,溪口里,37,14.61%
嘉義縣,朴子市,德興里,29,9.05%
嘉義縣,朴子市,仁和里,366,39.50%
嘉義縣,朴子市,大鄉里,184,14.67%
嘉義縣,朴子市,大葛里,318,19.98%
嘉義縣,朴子市,佳禾里,36,16.67%
嘉義縣,朴子市,竹村里,70,14.73%
嘉義縣,朴子市,崁前里,35,11.89%
嘉義縣,朴子市,順安里,23,26.19%
嘉義縣,朴子市,崁後里,36,15.82%
嘉義縣,朴子市,德家里,43,16.77%
嘉義縣,朴子市,新庄里,34,19.53%
嘉義縣,朴子市,梅華里,93,22.27%
嘉義縣,朴子市,松華里,79,16.95%
嘉義縣,朴子市,南竹里,26,14.56%
嘉義縣,布袋鎮,岱江里,45,18.71%
嘉義縣,布袋鎮,九龍里,45,26.83%
嘉義縣,布袋鎮,岑海里,204,20.62%
嘉義縣,布袋鎮,興中里,87,18.61%
嘉義縣,布袋鎮,光復里,98,13.67%
嘉義縣,布袋鎮,見龍里,62,18.48%
嘉義縣,布袋鎮,新厝里,69,19.63%
嘉義縣,布袋鎮,龍江里,59,16.98%
嘉義縣,布袋鎮,新岑里,31,13.56%
嘉義縣,布袋鎮,新民里,60,14.74%
嘉義縣,布袋鎮,復興里,190,23.90%
嘉義縣,布袋鎮,好美里,57,17.34%
嘉義縣,布袋鎮,永安里,119,23.79%
嘉義縣,布袋鎮,東港里,118,16.00%
嘉義縣,布袋鎮,江山里,18,15.22%
嘉義縣,布袋鎮,菜舖里,28,19.67%
嘉義縣,布袋鎮,考試里,37,32.08%
嘉義縣,布袋鎮,振寮里,63,20.50%
嘉義縣,布袋鎮,西安里,61,13.16%
嘉義縣,布袋鎮,東安里,120,24.39%
嘉義縣,布袋鎮,中安里,95,17.82%
嘉義縣,布袋鎮,樹林里,39,20.72%
嘉義縣,布袋鎮,貴舍里,52,26.72%
嘉義縣,大林鎮,東林里,36,12.55%
嘉義縣,大林鎮,西林里,119,13.06%
嘉義縣,大林鎮,吉林里,74,14.45%
嘉義縣,大林鎮,平林里,408,13.88%
嘉義縣,大林鎮,明華里,62,16.06%
嘉義縣,大林鎮,明和里,104,15.22%
嘉義縣,大林鎮,排路里,51,18.89%
嘉義縣,大林鎮,西結里,33,12.82%
嘉義縣,大林鎮,湖北里,23,11.45%
嘉義縣,大林鎮,大糖里,21,17.46%
嘉義縣,大林鎮,大美里,94,14.95%
嘉義縣,大林鎮,過溪里,94,19.83%
嘉義縣,大林鎮,中坑里,107,21.10%
嘉義縣,大林鎮,上林里,50,14.61%
嘉義縣,大林鎮,中林里,46,10.24%
嘉義縣,大林鎮,三和里,144,15.55%
嘉義縣,大林鎮,溝背里,86,22.58%
嘉義縣,大林鎮,義和里,12,6.35%
嘉義縣,大林鎮,內林里,39,20.63%
嘉義縣,大林鎮,三角里,29,9.36%
嘉義縣,大林鎮,三村里,28,9.86%
嘉義縣,民雄鄉,東榮村,124,11.06%
嘉義縣,民雄鄉,中樂村,87,11.66%
嘉義縣,民雄鄉,西安村,143,9.45%
嘉義縣,民雄鄉,寮頂村,117,13.23%
嘉義縣,民雄鄉,福權村,73,14.25%
嘉義縣,民雄鄉,東湖村,155,19.15%
嘉義縣,民雄鄉,頂崙村,97,16.72%
嘉義縣,民雄鄉,菁埔村,46,9.13%
嘉義縣,民雄鄉,中和村,63,17.28%
嘉義縣,民雄鄉,平和村,32,11.39%
嘉義縣,民雄鄉,西昌村,35,15.11%
嘉義縣,民雄鄉,豊收村,164,17.35%
嘉義縣,民雄鄉,三興村,101,7.22%
嘉義縣,民雄鄉,東興村,21,14.81%
嘉義縣,民雄鄉,鎮北村,125,19.20%
嘉義縣,民雄鄉,興中村,76,10.32%
嘉義縣,民雄鄉,興南村,153,11.43%
嘉義縣,民雄鄉,福興村,70,9.92%
嘉義縣,民雄鄉,文隆村,224,17.70%
嘉義縣,民雄鄉,山中村,90,7.81%
嘉義縣,民雄鄉,中央村,40,10.27%
嘉義縣,民雄鄉,北斗村,223,9.27%
嘉義縣,民雄鄉,?福村,223,15.82%
嘉義縣,民雄鄉,大崎村,114,12.05%
嘉義縣,民雄鄉,秀林村,105,10.37%
嘉義縣,民雄鄉,松山村,211,22.59%
嘉義縣,民雄鄉,金興村,210,15.01%
嘉義縣,民雄鄉,福樂村,256,8.49%
嘉義縣,溪口鄉,溪東村,115,17.10%
嘉義縣,溪口鄉,溪西村,52,17.91%
嘉義縣,溪口鄉,溪北村,38,16.89%
嘉義縣,溪口鄉,游東村,52,13.95%
嘉義縣,溪口鄉,游西村,30,16.54%
嘉義縣,溪口鄉,柴林村,62,25.15%
嘉義縣,溪口鄉,林腳村,62,25.88%
嘉義縣,溪口鄉,美南村,74,21.83%
嘉義縣,溪口鄉,美北村,48,18.46%
