縣市,鄉鎮市區,村里,104年宅數,104年比例
屏東縣,屏東市,光榮里,49,11.74%
屏東縣,屏東市,文明里,50,22.02%
屏東縣,屏東市,武廟里,14,8.66%
屏東縣,屏東市,大同里,28,9.59%
屏東縣,屏東市,泰安里,46,14.11%
屏東縣,屏東市,端正里,19,14.02%
屏東縣,屏東市,民權里,40,13.13%
屏東縣,屏東市,大埔里,43,12.50%
屏東縣,屏東市,必信里,30,10.48%
屏東縣,屏東市,崇智里,29,14.46%
屏東縣,屏東市,崇禮里,26,16.13%
屏東縣,屏東市,維新里,139,12.14%
屏東縣,屏東市,安樂里,51,14.52%
屏東縣,屏東市,平和里,18,5.95%
屏東縣,屏東市,楠樹里,42,19.53%
屏東縣,屏東市,扶風里,41,14.81%
屏東縣,屏東市,慶春里,30,16.38%
屏東縣,屏東市,金泉里,42,12.64%
屏東縣,屏東市,勝豐里,34,17.28%
屏東縣,屏東市,橋南里,124,17.37%
屏東縣,屏東市,橋北里,74,15.26%
屏東縣,屏東市,長春里,108,11.59%
屏東縣,屏東市,豐榮里,148,10.59%
屏東縣,屏東市,豐源里,166,9.97%
屏東縣,屏東市,豐田里,186,10.40%
屏東縣,屏東市,大連里,306,7.48%
屏東縣,屏東市,湖西里,44,9.19%
屏東縣,屏東市,湖南里,22,6.17%
屏東縣,屏東市,歸心里,18,4.95%
屏東縣,屏東市,瑞光里,428,10.99%
屏東縣,屏東市,新生里,251,10.68%
屏東縣,屏東市,頂宅里,24,12.86%
屏東縣,屏東市,厚生里,181,13.29%
屏東縣,屏東市,擇仁里,122,18.71%
屏東縣,屏東市,建國里,67,11.30%
屏東縣,屏東市,一心里,72,10.07%
屏東縣,屏東市,萬年里,58,14.93%
屏東縣,屏東市,義勇里,70,11.65%
屏東縣,屏東市,光華里,36,10.14%
屏東縣,屏東市,永安里,288,8.95%
屏東縣,屏東市,新興里,56,7.79%
屏東縣,屏東市,公館里,42,8.56%
屏東縣,屏東市,龍華里,102,11.76%
屏東縣,屏東市,玉成里,35,7.67%
屏東縣,屏東市,頂柳里,18,5.18%
屏東縣,屏東市,大湖里,90,13.79%
屏東縣,屏東市,凌雲里,23,20.22%
屏東縣,屏東市,鵬程里,0,0.00%
屏東縣,屏東市,安鎮里,97,11.33%
屏東縣,屏東市,永光里,43,10.61%
屏東縣,屏東市,大洲里,35,8.39%
屏東縣,屏東市,大武里,363,9.97%
屏東縣,屏東市,前進里,135,11.65%
屏東縣,屏東市,清溪里,204,11.08%
屏東縣,屏東市,長安里,65,10.12%
屏東縣,屏東市,永順里,32,22.02%
屏東縣,屏東市,永昌里,23,21.69%
屏東縣,屏東市,斯文里,95,10.51%
屏東縣,屏東市,華山里,193,8.89%
屏東縣,屏東市,興樂里,96,23.89%
屏東縣,屏東市,明正里,41,9.29%
屏東縣,屏東市,太平里,48,11.99%
屏東縣,屏東市,中正里,215,9.79%
屏東縣,屏東市,勝利里,245,9.73%
