縣市,鄉鎮市區,110H1宅數,110H1比率(%)
屏東縣,全區,28051,9.62
屏東縣,屏東市,6989,8.74
屏東縣,潮州鎮,2174,9.72
屏東縣,東港鎮,1015,6.61
屏東縣,恆春鎮,1697,14.99
屏東縣,萬丹鄉,1313,7.57
屏東縣,長治鄉,1039,9.54
屏東縣,麟洛鄉,411,9.91
屏東縣,九如鄉,738,9.56
屏東縣,里港鄉,803,10.15
屏東縣,鹽埔鄉,660,8.47
屏東縣,高樹鄉,759,10.86
屏東縣,萬巒鄉,664,10.29
屏東縣,內埔鄉,2222,10.08
屏東縣,竹田鄉,623,10.26
屏東縣,新埤鄉,433,12.16
屏東縣,枋寮鄉,1063,11.45
屏東縣,新園鄉,830,7.66
屏東縣,崁頂鄉,314,8.85
屏東縣,林邊鄉,583,10.34
屏東縣,南州鄉,330,8.75
屏東縣,佳冬鄉,551,9.19
屏東縣,琉球鄉,233,7.77
屏東縣,車城鄉,552,16.46
屏東縣,滿州鄉,420,17.02
屏東縣,枋山鄉,229,12.42
屏東縣,三地門鄉,180,9.49
屏東縣,霧臺鄉,160,15.69
屏東縣,瑪家鄉,148,8.89
屏東縣,泰武鄉,136,12.23
屏東縣,來義鄉,246,11.49
屏東縣,春日鄉,155,12.07
屏東縣,獅子鄉,142,11.08
屏東縣,牡丹鄉,239,15.13
