縣市,鄉鎮市區,105宅數,105比率(%)
屏東縣,全區,27593,9.81
屏東縣,屏東市,7745,9.85
屏東縣,潮州鎮,2230,10.40
屏東縣,東港鎮,914,6.36
屏東縣,恆春鎮,1028,9.88
屏東縣,萬丹鄉,1501,9.07
屏東縣,長治鄉,857,8.29
屏東縣,麟洛鄉,424,10.55
屏東縣,九如鄉,717,9.72
屏東縣,里港鄉,754,9.98
屏東縣,鹽埔鄉,553,7.28
屏東縣,高樹鄉,686,10.06
屏東縣,萬巒鄉,591,9.37
屏東縣,內埔鄉,2237,10.70
屏東縣,竹田鄉,608,10.24
屏東縣,新埤鄉,418,11.99
屏東縣,枋寮鄉,994,10.95
屏東縣,新園鄉,677,6.47
屏東縣,崁頂鄉,296,8.63
屏東縣,林邊鄉,494,8.93
屏東縣,南州鄉,363,9.97
屏東縣,佳冬鄉,484,8.45
屏東縣,琉球鄉,225,7.99
屏東縣,車城鄉,439,13.62
屏東縣,滿州鄉,362,15.40
屏東縣,枋山鄉,234,12.78
屏東縣,三地門鄉,233,12.62
屏東縣,霧臺鄉,370,37.08
屏東縣,瑪家鄉,162,9.91
屏東縣,泰武鄉,161,14.97
屏東縣,來義鄉,331,15.28
屏東縣,春日鄉,155,12.56
屏東縣,獅子鄉,127,10.52
屏東縣,牡丹鄉,223,15.65
