縣市,鄉鎮市區,109H1宅數,109H1比率(%)
屏東縣,全區,27955,9.66
屏東縣,屏東市,6864,8.62
屏東縣,潮州鎮,2228,10.05
屏東縣,東港鎮,1026,6.80
屏東縣,恆春鎮,1782,15.98
屏東縣,萬丹鄉,1396,8.08
屏東縣,長治鄉,871,8.13
屏東縣,麟洛鄉,387,9.36
屏東縣,九如鄉,717,9.42
屏東縣,里港鄉,777,9.99
屏東縣,鹽埔鄉,677,8.73
屏東縣,高樹鄉,738,10.61
屏東縣,萬巒鄉,655,10.20
屏東縣,內埔鄉,2304,10.54
屏東縣,竹田鄉,627,10.39
屏東縣,新埤鄉,451,12.71
屏東縣,枋寮鄉,1034,11.21
屏東縣,新園鄉,778,7.25
屏東縣,崁頂鄉,305,8.67
屏東縣,林邊鄉,570,10.16
屏東縣,南州鄉,336,8.96
屏東縣,佳冬鄉,570,9.53
屏東縣,琉球鄉,242,8.27
屏東縣,車城鄉,582,17.43
屏東縣,滿州鄉,414,17.01
屏東縣,枋山鄉,222,11.76
屏東縣,三地門鄉,195,10.33
屏東縣,霧臺鄉,162,15.97
屏東縣,瑪家鄉,153,9.14
屏東縣,泰武鄉,131,11.74
屏東縣,來義鄉,259,11.66
屏東縣,春日鄉,146,11.45
屏東縣,獅子鄉,132,10.46
屏東縣,牡丹鄉,224,14.47
