縣市,鄉鎮市區,109H2宅數,109H2比率(%)
屏東縣,全區,28123,9.68
屏東縣,屏東市,6998,8.78
屏東縣,潮州鎮,2177,9.79
屏東縣,東港鎮,1068,6.97
屏東縣,恆春鎮,1633,14.49
屏東縣,萬丹鄉,1487,8.60
屏東縣,長治鄉,852,7.91
屏東縣,麟洛鄉,419,10.15
屏東縣,九如鄉,690,8.99
屏東縣,里港鄉,807,10.30
屏東縣,鹽埔鄉,705,9.06
屏東縣,高樹鄉,760,10.90
屏東縣,萬巒鄉,674,10.45
屏東縣,內埔鄉,2243,10.22
屏東縣,竹田鄉,676,11.16
屏東縣,新埤鄉,448,12.62
屏東縣,枋寮鄉,1034,11.18
屏東縣,新園鄉,765,7.11
屏東縣,崁頂鄉,288,8.16
屏東縣,林邊鄉,552,9.81
屏東縣,南州鄉,373,9.88
屏東縣,佳冬鄉,598,10.00
屏東縣,琉球鄉,240,8.10
屏東縣,車城鄉,584,17.48
屏東縣,滿州鄉,399,16.28
屏東縣,枋山鄉,257,13.94
屏東縣,三地門鄉,163,8.63
屏東縣,霧臺鄉,172,16.93
屏東縣,瑪家鄉,157,9.45
屏東縣,泰武鄉,116,10.41
屏東縣,來義鄉,239,11.18
屏東縣,春日鄉,156,12.23
屏東縣,獅子鄉,134,10.55
屏東縣,牡丹鄉,259,16.53
