縣市,鄉鎮市區,102宅數,102比率(%)
屏東縣,全區,28313,10.32
屏東縣,屏東市,8290,10.77
屏東縣,潮州鎮,2263,10.86
屏東縣,東港鎮,905,6.62
屏東縣,恆春鎮,1115,10.75
屏東縣,萬丹鄉,1540,9.46
屏東縣,長治鄉,859,8.64
屏東縣,麟洛鄉,412,10.52
屏東縣,九如鄉,706,9.78
屏東縣,里港鄉,746,10.14
屏東縣,鹽埔鄉,588,7.84
屏東縣,高樹鄉,678,10.17
屏東縣,萬巒鄉,536,8.69
屏東縣,內埔鄉,2370,11.84
屏東縣,竹田鄉,589,10.24
屏東縣,新埤鄉,426,12.48
屏東縣,枋寮鄉,1051,11.62
屏東縣,新園鄉,707,7.04
屏東縣,崁頂鄉,287,8.65
屏東縣,林邊鄉,499,9.09
屏東縣,南州鄉,370,10.17
屏東縣,佳冬鄉,494,8.79
屏東縣,琉球鄉,204,7.69
屏東縣,車城鄉,482,15.27
屏東縣,滿州鄉,342,14.81
屏東縣,枋山鄉,210,11.88
屏東縣,三地門鄉,231,12.67
屏東縣,霧臺鄉,264,26.69
屏東縣,瑪家鄉,168,10.48
屏東縣,泰武鄉,145,14.12
屏東縣,來義鄉,305,14.41
屏東縣,春日鄉,160,13.10
屏東縣,獅子鄉,147,12.45
屏東縣,牡丹鄉,224,16.86
