縣市,鄉鎮市區,099宅數,099比率(%)
屏東縣,全區,27767,10.38
屏東縣,屏東市,8296,10.94
屏東縣,潮州鎮,2266,11.21
屏東縣,東港鎮,895,6.75
屏東縣,恆春鎮,1203,11.48
屏東縣,萬丹鄉,1554,9.68
屏東縣,長治鄉,842,8.76
屏東縣,麟洛鄉,383,10.19
屏東縣,九如鄉,748,10.61
屏東縣,里港鄉,730,10.09
屏東縣,鹽埔鄉,559,7.62
屏東縣,高樹鄉,608,9.47
屏東縣,萬巒鄉,525,8.74
屏東縣,內埔鄉,2077,10.72
屏東縣,竹田鄉,581,10.32
屏東縣,新埤鄉,385,11.60
屏東縣,枋寮鄉,1077,11.99
屏東縣,新園鄉,683,6.94
屏東縣,崁頂鄉,263,8.10
屏東縣,林邊鄉,507,9.32
屏東縣,南州鄉,337,9.28
屏東縣,佳冬鄉,459,8.39
屏東縣,琉球鄉,225,8.64
屏東縣,車城鄉,472,15.18
屏東縣,滿州鄉,285,12.83
屏東縣,枋山鄉,215,12.59
屏東縣,三地門鄉,190,12.49
屏東縣,霧臺鄉,463,69.67
屏東縣,瑪家鄉,133,9.38
屏東縣,泰武鄉,85,10.21
屏東縣,來義鄉,232,13.14
屏東縣,春日鄉,171,14.35
屏東縣,獅子鄉,142,12.38
屏東縣,牡丹鄉,176,14.76
