縣市,鄉鎮市區,101宅數,101比率(%)
屏東縣,全區,28245,10.31
屏東縣,屏東市,8224,10.70
屏東縣,潮州鎮,2380,11.48
屏東縣,東港鎮,902,6.64
屏東縣,恆春鎮,1213,11.48
屏東縣,萬丹鄉,1569,9.63
屏東縣,長治鄉,874,8.81
屏東縣,麟洛鄉,388,9.94
屏東縣,九如鄉,726,10.10
屏東縣,里港鄉,728,9.90
屏東縣,鹽埔鄉,616,8.22
屏東縣,高樹鄉,674,10.14
屏東縣,萬巒鄉,536,8.72
屏東縣,內埔鄉,2195,11.07
屏東縣,竹田鄉,588,10.25
屏東縣,新埤鄉,414,12.17
屏東縣,枋寮鄉,1093,12.07
屏東縣,新園鄉,677,6.77
屏東縣,崁頂鄉,304,9.16
屏東縣,林邊鄉,492,8.99
屏東縣,南州鄉,330,9.11
屏東縣,佳冬鄉,440,7.86
屏東縣,琉球鄉,193,7.29
屏東縣,車城鄉,485,15.35
屏東縣,滿州鄉,347,14.99
屏東縣,枋山鄉,211,11.94
屏東縣,三地門鄉,234,12.89
屏東縣,霧臺鄉,260,26.22
屏東縣,瑪家鄉,183,11.42
屏東縣,泰武鄉,132,13.50
屏東縣,來義鄉,310,14.64
屏東縣,春日鄉,157,12.89
屏東縣,獅子鄉,136,11.56
屏東縣,牡丹鄉,234,17.54
