縣市,鄉鎮市區,112H1宅數,112H1比率(%)
屏東縣,全區,30011,10.07
屏東縣,屏東市,7854,9.66
屏東縣,潮州鎮,2444,10.59
屏東縣,東港鎮,1179,7.37
屏東縣,恆春鎮,1544,13.35
屏東縣,萬丹鄉,1450,8.10
屏東縣,長治鄉,1036,9.20
屏東縣,麟洛鄉,468,10.77
屏東縣,九如鄉,736,9.35
屏東縣,里港鄉,718,8.91
屏東縣,鹽埔鄉,728,9.26
屏東縣,高樹鄉,801,11.31
屏東縣,萬巒鄉,721,10.97
屏東縣,內埔鄉,2367,10.40
屏東縣,竹田鄉,713,11.64
屏東縣,新埤鄉,455,12.63
屏東縣,枋寮鄉,1088,11.58
屏東縣,新園鄉,852,7.73
屏東縣,崁頂鄉,306,8.34
屏東縣,林邊鄉,625,10.96
屏東縣,南州鄉,401,10.31
屏東縣,佳冬鄉,555,9.12
屏東縣,琉球鄉,258,8.44
屏東縣,車城鄉,592,17.53
屏東縣,滿州鄉,403,16.19
屏東縣,枋山鄉,253,13.59
屏東縣,三地門鄉,158,8.27
屏東縣,霧臺鄉,176,17.22
屏東縣,瑪家鄉,154,9.07
屏東縣,泰武鄉,112,9.87
屏東縣,來義鄉,274,12.62
屏東縣,春日鄉,149,11.44
屏東縣,獅子鄉,169,13.07
屏東縣,牡丹鄉,272,16.71
