縣市,鄉鎮市區,108宅數,108比率(%)
屏東縣,全區,28247,9.79
屏東縣,屏東市,7150,9.00
屏東縣,潮州鎮,2163,9.79
屏東縣,東港鎮,1007,6.71
屏東縣,恆春鎮,1664,15.02
屏東縣,萬丹鄉,1481,8.65
屏東縣,長治鄉,896,8.40
屏東縣,麟洛鄉,440,10.68
屏東縣,九如鄉,682,9.01
屏東縣,里港鄉,763,9.89
屏東縣,鹽埔鄉,660,8.55
屏東縣,高樹鄉,752,10.84
屏東縣,萬巒鄉,663,10.34
屏東縣,內埔鄉,2343,10.76
屏東縣,竹田鄉,653,10.83
屏東縣,新埤鄉,446,12.63
屏東縣,枋寮鄉,1036,11.24
屏東縣,新園鄉,753,7.03
屏東縣,崁頂鄉,287,8.21
屏東縣,林邊鄉,573,10.21
屏東縣,南州鄉,400,10.71
屏東縣,佳冬鄉,609,10.22
屏東縣,琉球鄉,213,7.32
屏東縣,車城鄉,605,18.15
屏東縣,滿州鄉,397,16.37
屏東縣,枋山鄉,215,11.48
屏東縣,三地門鄉,171,9.10
屏東縣,霧臺鄉,176,17.41
屏東縣,瑪家鄉,161,9.67
屏東縣,泰武鄉,116,10.39
屏東縣,來義鄉,252,11.39
屏東縣,春日鄉,150,11.84
屏東縣,獅子鄉,115,9.17
屏東縣,牡丹鄉,255,16.65
