縣市,鄉鎮市區,100宅數,100比率(%)
屏東縣,全區,26333,9.68
屏東縣,屏東市,7705,10.07
屏東縣,潮州鎮,2198,10.70
屏東縣,東港鎮,816,6.07
屏東縣,恆春鎮,1136,10.71
屏東縣,萬丹鄉,1496,9.24
屏東縣,長治鄉,790,8.09
屏東縣,麟洛鄉,376,9.74
屏東縣,九如鄉,707,9.88
屏東縣,里港鄉,702,9.58
屏東縣,鹽埔鄉,527,7.09
屏東縣,高樹鄉,608,9.23
屏東縣,萬巒鄉,509,8.37
屏東縣,內埔鄉,2057,10.44
屏東縣,竹田鄉,540,9.46
屏東縣,新埤鄉,379,11.23
屏東縣,枋寮鄉,969,10.71
屏東縣,新園鄉,657,6.62
屏東縣,崁頂鄉,275,8.37
屏東縣,林邊鄉,474,8.70
屏東縣,南州鄉,321,8.88
屏東縣,佳冬鄉,446,8.03
屏東縣,琉球鄉,204,7.75
屏東縣,車城鄉,449,14.33
屏東縣,滿州鄉,291,12.85
屏東縣,枋山鄉,199,11.35
屏東縣,三地門鄉,225,12.73
屏東縣,霧臺鄉,266,25.84
屏東縣,瑪家鄉,155,9.76
屏東縣,泰武鄉,116,11.90
屏東縣,來義鄉,245,11.96
屏東縣,春日鄉,157,12.93
屏東縣,獅子鄉,124,10.64
屏東縣,牡丹鄉,214,16.74
