縣市,鄉鎮市區,106宅數,106比率(%)
屏東縣,全區,27491,9.73
屏東縣,屏東市,7843,9.98
屏東縣,潮州鎮,2156,10.02
屏東縣,東港鎮,911,6.29
屏東縣,恆春鎮,1141,10.79
屏東縣,萬丹鄉,1535,9.21
屏東縣,長治鄉,804,7.72
屏東縣,麟洛鄉,420,10.46
屏東縣,九如鄉,712,9.67
屏東縣,里港鄉,749,9.91
屏東縣,鹽埔鄉,559,7.34
屏東縣,高樹鄉,650,9.51
屏東縣,萬巒鄉,571,8.98
屏東縣,內埔鄉,2223,10.54
屏東縣,竹田鄉,607,10.15
屏東縣,新埤鄉,400,11.41
屏東縣,枋寮鄉,967,10.61
屏東縣,新園鄉,713,6.79
屏東縣,崁頂鄉,273,7.89
屏東縣,林邊鄉,495,8.94
屏東縣,南州鄉,366,10.03
屏東縣,佳冬鄉,494,8.52
屏東縣,琉球鄉,214,7.57
屏東縣,車城鄉,434,13.37
屏東縣,滿州鄉,359,15.11
屏東縣,枋山鄉,231,12.55
屏東縣,三地門鄉,215,11.54
屏東縣,霧臺鄉,350,34.84
屏東縣,瑪家鄉,161,9.81
屏東縣,泰武鄉,143,13.14
屏東縣,來義鄉,294,13.47
屏東縣,春日鄉,156,12.56
屏東縣,獅子鄉,124,10.11
屏東縣,牡丹鄉,221,15.18
