縣市,鄉鎮市區,111H2宅數,111H2比率(%)
屏東縣,全區,28576,9.64
屏東縣,屏東市,7166,8.86
屏東縣,潮州鎮,2209,9.64
屏東縣,東港鎮,1174,7.38
屏東縣,恆春鎮,1563,13.57
屏東縣,萬丹鄉,1533,8.61
屏東縣,長治鄉,907,8.12
屏東縣,麟洛鄉,444,10.33
屏東縣,九如鄉,732,9.37
屏東縣,里港鄉,803,9.97
屏東縣,鹽埔鄉,694,8.85
屏東縣,高樹鄉,780,11.05
屏東縣,萬巒鄉,708,10.79
屏東縣,內埔鄉,2268,10.04
屏東縣,竹田鄉,693,11.32
屏東縣,新埤鄉,427,11.89
屏東縣,枋寮鄉,1015,10.84
屏東縣,新園鄉,804,7.35
屏東縣,崁頂鄉,304,8.30
屏東縣,林邊鄉,566,9.98
屏東縣,南州鄉,364,9.47
屏東縣,佳冬鄉,595,9.83
屏東縣,琉球鄉,217,7.13
屏東縣,車城鄉,561,16.62
屏東縣,滿州鄉,412,16.55
屏東縣,枋山鄉,255,13.70
屏東縣,三地門鄉,161,8.43
屏東縣,霧臺鄉,157,15.41
屏東縣,瑪家鄉,169,9.97
屏東縣,泰武鄉,106,9.40
屏東縣,來義鄉,248,11.47
屏東縣,春日鄉,143,11.02
屏東縣,獅子鄉,141,10.94
屏東縣,牡丹鄉,257,15.75
