縣市,鄉鎮市區,113H1宅數,113H1比率(%)
屏東縣,全區,31168,10.33
屏東縣,屏東市,8020,9.78
屏東縣,潮州鎮,2597,11.02
屏東縣,東港鎮,1406,8.53
屏東縣,恆春鎮,1455,12.55
屏東縣,萬丹鄉,1499,8.28
屏東縣,長治鄉,1042,9.11
屏東縣,麟洛鄉,506,11.37
屏東縣,九如鄉,852,10.62
屏東縣,里港鄉,787,9.64
屏東縣,鹽埔鄉,717,9.06
屏東縣,高樹鄉,855,11.95
屏東縣,萬巒鄉,710,10.69
屏東縣,內埔鄉,2542,11.01
屏東縣,竹田鄉,747,12.01
屏東縣,新埤鄉,465,12.73
屏東縣,枋寮鄉,1093,11.57
屏東縣,新園鄉,975,8.75
屏東縣,崁頂鄉,339,9.06
屏東縣,林邊鄉,621,10.80
屏東縣,南州鄉,411,10.53
屏東縣,佳冬鄉,550,8.98
屏東縣,琉球鄉,245,7.87
屏東縣,車城鄉,543,16.07
屏東縣,滿州鄉,394,15.79
屏東縣,枋山鄉,307,16.52
屏東縣,三地門鄉,177,9.26
屏東縣,霧臺鄉,191,18.71
屏東縣,瑪家鄉,139,8.21
屏東縣,泰武鄉,127,11.06
屏東縣,來義鄉,276,12.57
屏東縣,春日鄉,145,11.07
屏東縣,獅子鄉,174,13.43
屏東縣,牡丹鄉,261,16.01
