縣市,鄉鎮市區,112H2宅數,112H2比率(%)
屏東縣,全區,31786,10.00
屏東縣,屏東市,8105,9.00
屏東縣,潮州鎮,2671,11.00
屏東縣,東港鎮,1317,8.00
屏東縣,恆春鎮,1530,13.00
屏東縣,萬丹鄉,1689,9.00
屏東縣,長治鄉,1061,9.00
屏東縣,麟洛鄉,481,10.00
屏東縣,九如鄉,871,10.00
屏東縣,里港鄉,844,10.00
屏東縣,鹽埔鄉,714,9.00
屏東縣,高樹鄉,846,11.00
屏東縣,萬巒鄉,732,11.00
屏東縣,內埔鄉,2515,10.00
屏東縣,竹田鄉,817,13.00
屏東縣,新埤鄉,475,13.00
屏東縣,枋寮鄉,1096,11.00
屏東縣,新園鄉,938,8.00
屏東縣,崁頂鄉,320,8.00
屏東縣,林邊鄉,609,10.00
屏東縣,南州鄉,460,11.00
屏東縣,佳冬鄉,618,10.00
屏東縣,琉球鄉,230,7.00
屏東縣,車城鄉,579,17.00
屏東縣,滿州鄉,407,16.00
屏東縣,枋山鄉,327,17.00
屏東縣,三地門鄉,193,10.00
屏東縣,霧臺鄉,202,19.00
屏東縣,瑪家鄉,155,9.00
屏東縣,泰武鄉,132,11.00
屏東縣,來義鄉,279,12.00
屏東縣,春日鄉,140,10.00
屏東縣,獅子鄉,160,12.00
屏東縣,牡丹鄉,273,16.00
