縣市,鄉鎮市區,111H1宅數,111H1比率(%)
屏東縣,全區,29791,10.10
屏東縣,屏東市,7492,9.28
屏東縣,潮州鎮,2334,10.31
屏東縣,東港鎮,1194,7.59
屏東縣,恆春鎮,1796,15.68
屏東縣,萬丹鄉,1510,8.54
屏東縣,長治鄉,957,8.66
屏東縣,麟洛鄉,428,10.08
屏東縣,九如鄉,808,10.37
屏東縣,里港鄉,756,9.50
屏東縣,鹽埔鄉,705,9.01
屏東縣,高樹鄉,805,11.43
屏東縣,萬巒鄉,705,10.84
屏東縣,內埔鄉,2380,10.61
屏東縣,竹田鄉,649,10.65
屏東縣,新埤鄉,480,13.38
屏東縣,枋寮鄉,1092,11.69
屏東縣,新園鄉,848,7.76
屏東縣,崁頂鄉,324,9.02
屏東縣,林邊鄉,621,10.97
屏東縣,南州鄉,328,8.60
屏東縣,佳冬鄉,547,9.08
屏東縣,琉球鄉,244,8.04
屏東縣,車城鄉,590,17.53
屏東縣,滿州鄉,469,18.95
屏東縣,枋山鄉,245,13.25
屏東縣,三地門鄉,180,9.41
屏東縣,霧臺鄉,175,17.12
屏東縣,瑪家鄉,153,9.05
屏東縣,泰武鄉,135,12.06
屏東縣,來義鄉,274,12.76
屏東縣,春日鄉,167,12.88
屏東縣,獅子鄉,150,11.64
屏東縣,牡丹鄉,250,15.44
