縣市,鄉鎮市區,110H2宅數,110H2比率(%)
屏東縣,全區,28145,9.59
屏東縣,屏東市,7272,9.04
屏東縣,潮州鎮,2134,9.48
屏東縣,東港鎮,1159,7.42
屏東縣,恆春鎮,1604,14.05
屏東縣,萬丹鄉,1382,7.90
屏東縣,長治鄉,923,8.40
屏東縣,麟洛鄉,416,9.88
屏東縣,九如鄉,720,9.27
屏東縣,里港鄉,793,9.99
屏東縣,鹽埔鄉,670,8.59
屏東縣,高樹鄉,747,10.64
屏東縣,萬巒鄉,665,10.25
屏東縣,內埔鄉,2149,9.68
屏東縣,竹田鄉,660,10.85
屏東縣,新埤鄉,433,12.11
屏東縣,枋寮鄉,1008,10.84
屏東縣,新園鄉,796,7.32
屏東縣,崁頂鄉,296,8.29
屏東縣,林邊鄉,555,9.82
屏東縣,南州鄉,354,9.38
屏東縣,佳冬鄉,586,9.75
屏東縣,琉球鄉,210,6.95
屏東縣,車城鄉,540,16.04
屏東縣,滿州鄉,414,16.77
屏東縣,枋山鄉,241,13.05
屏東縣,三地門鄉,165,8.70
屏東縣,霧臺鄉,148,14.55
屏東縣,瑪家鄉,161,9.59
屏東縣,泰武鄉,111,9.97
屏東縣,來義鄉,261,12.17
屏東縣,春日鄉,160,12.44
屏東縣,獅子鄉,149,11.55
屏東縣,牡丹鄉,263,16.37
