縣市,鄉鎮市區,100宅數,100比率(%)
金門縣,全區,1948,12.47
金門縣,金城鎮,543,10.06
金門縣,金湖鎮,482,12.66
金門縣,金沙鎮,452,17.35
金門縣,金寧鄉,309,11.12
金門縣,烈嶼鄉,162,15.77
金門縣,烏坵鄉,0,0.00
