縣市,鄉鎮市區,113Q1宅數
雲林縣,全區,1619
雲林縣,斗六市,408
雲林縣,斗南鎮,110
雲林縣,虎尾鎮,491
雲林縣,西螺鎮,127
雲林縣,土庫鎮,60
雲林縣,北港鎮,46
雲林縣,古坑鄉,81
雲林縣,大埤鄉,10
雲林縣,莿桐鄉,32
雲林縣,林內鄉,19
雲林縣,二崙鄉,35
雲林縣,崙背鄉,80
雲林縣,麥寮鄉,107
雲林縣,東勢鄉,0
雲林縣,褒忠鄉,13
雲林縣,臺西鄉,0
雲林縣,元長鄉,0
雲林縣,四湖鄉,0
雲林縣,口湖鄉,0
雲林縣,水林鄉,0
