縣市,鄉鎮市區,108宅數,108比率(%)
新竹縣,全區,19648,9.34
新竹縣,竹北市,6530,8.45
新竹縣,關西鎮,853,9.43
新竹縣,新埔鎮,1004,8.66
新竹縣,竹東鎮,3415,9.37
新竹縣,湖口鄉,3105,10.34
新竹縣,橫山鄉,516,11.81
新竹縣,新豐鄉,1996,9.52
新竹縣,芎林鄉,866,11.80
新竹縣,寶山鄉,525,8.90
新竹縣,北埔鄉,245,7.98
新竹縣,峨眉鄉,186,9.65
新竹縣,尖石鄉,172,12.37
新竹縣,五峰鄉,235,27.55
