縣市,鄉鎮市區,109H2宅數,109H2比率(%)
新竹縣,全區,19072,8.90
新竹縣,竹北市,5986,7.61
新竹縣,關西鎮,870,9.53
新竹縣,新埔鎮,1219,10.14
新竹縣,竹東鎮,3120,8.49
新竹縣,湖口鄉,3338,10.64
新竹縣,橫山鄉,518,11.80
新竹縣,新豐鄉,1844,8.72
新竹縣,芎林鄉,871,11.61
新竹縣,寶山鄉,479,8.04
新竹縣,北埔鄉,259,8.43
新竹縣,峨眉鄉,185,9.56
新竹縣,尖石鄉,158,11.27
新竹縣,五峰鄉,225,26.09
