縣市,鄉鎮市區,村里,104年宅數,104年比例
新竹縣,竹北市,斗崙里,1009,13.97%
新竹縣,竹北市,鹿場里,674,12.93%
新竹縣,竹北市,東平里,767,10.97%
新竹縣,竹北市,中興里,662,15.38%
新竹縣,竹北市,隘口里,224,15.00%
新竹縣,竹北市,東海里,151,13.73%
新竹縣,竹北市,竹北里,274,9.44%
新竹縣,竹北市,竹仁里,354,9.37%
新竹縣,竹北市,竹義里,282,10.00%
新竹縣,竹北市,泰和里,238,9.42%
新竹縣,竹北市,新社里,200,7.01%
新竹縣,竹北市,聯興里,98,5.91%
新竹縣,竹北市,麻園里,53,7.39%
新竹縣,竹北市,溪州里,47,5.00%
新竹縣,竹北市,白地里,60,7.42%
新竹縣,竹北市,新港里,40,9.60%
新竹縣,竹北市,大義里,36,6.87%
新竹縣,竹北市,崇義里,42,6.64%
新竹縣,竹北市,大眉里,68,8.69%
新竹縣,竹北市,尚義里,40,7.57%
新竹縣,竹北市,十興里,297,7.04%
新竹縣,竹北市,新國里,427,18.06%
新竹縣,竹北市,新庄里,43,10.46%
新竹縣,竹北市,北崙里,174,10.65%
新竹縣,竹北市,新崙里,211,8.92%
新竹縣,竹北市,福德里,136,9.53%
新竹縣,竹北市,東興里,491,19.40%
新竹縣,竹北市,北興里,364,36.61%
新竹縣,竹北市,興安里,165,9.85%
新竹縣,竹北市,文化里,126,7.88%
新竹縣,竹東鎮,上坪里,34,21.67%
新竹縣,竹東鎮,瑞峰里,69,25.93%
新竹縣,竹東鎮,軟橋里,34,26.67%
新竹縣,竹東鎮,員崠里,59,6.57%
新竹縣,竹東鎮,東寧里,131,9.59%
新竹縣,竹東鎮,上?里,395,10.31%
新竹縣,竹東鎮,大鄉里,168,9.64%
新竹縣,竹東鎮,東華里,51,16.73%
新竹縣,竹東鎮,商華里,130,10.88%
新竹縣,竹東鎮,竹東里,68,11.57%
新竹縣,竹東鎮,榮樂里,75,12.13%
新竹縣,竹東鎮,?林里,162,9.60%
新竹縣,竹東鎮,仁愛里,154,10.53%
新竹縣,竹東鎮,五豐里,295,8.83%
新竹縣,竹東鎮,三重里,322,10.66%
新竹縣,竹東鎮,頭重里,218,9.66%
新竹縣,竹東鎮,員山里,36,6.08%
新竹縣,竹東鎮,柯湖里,18,10.59%
新竹縣,竹東鎮,二重里,1275,24.22%
新竹縣,竹東鎮,中山里,85,12.40%
新竹縣,竹東鎮,中正里,70,9.22%
新竹縣,竹東鎮,南華里,57,13.11%
新竹縣,竹東鎮,榮華里,238,8.79%
新竹縣,竹東鎮,忠孝里,66,9.71%
新竹縣,竹東鎮,陸豐里,6,4.55%
新竹縣,新埔鎮,內立里,20,5.97%
新竹縣,新埔鎮,寶石里,27,8.51%
新竹縣,新埔鎮,文山里,163,8.33%
新竹縣,新埔鎮,五埔里,53,7.33%
新竹縣,新埔鎮,四座里,117,8.89%
新竹縣,新埔鎮,旱坑里,48,7.76%
新竹縣,新埔鎮,田新里,107,11.54%
新竹縣,新埔鎮,新埔里,39,9.56%
新竹縣,新埔鎮,新生里,29,12.97%
新竹縣,新埔鎮,新民里,56,12.22%
新竹縣,新埔鎮,上寮里,41,5.96%
新竹縣,新埔鎮,下寮里,93,9.61%
新竹縣,新埔鎮,南平里,33,8.54%
新竹縣,新埔鎮,北平里,27,14.29%
新竹縣,新埔鎮,巨埔里,55,14.06%
新竹縣,新埔鎮,照門里,70,14.45%
新竹縣,新埔鎮,清水里,35,19.40%
新竹縣,新埔鎮,鹿鳴里,35,18.33%
新竹縣,新埔鎮,新北里,7,4.85%
新竹縣,關西鎮,東興里,27,13.82%
新竹縣,關西鎮,西安里,85,11.05%
新竹縣,關西鎮,南雄里,33,10.50%
新竹縣,關西鎮,北斗里,126,9.12%
新竹縣,關西鎮,仁安里,48,16.29%
新竹縣,關西鎮,北山里,44,21.43%
新竹縣,關西鎮,南山里,40,14.10%
新竹縣,關西鎮,東安里,131,9.29%
新竹縣,關西鎮,東光里,39,9.47%
新竹縣,關西鎮,新富里,35,20.00%
新竹縣,關西鎮,金山里,47,19.05%
新竹縣,關西鎮,錦山里,96,23.96%
新竹縣,關西鎮,玉山里,46,22.34%
新竹縣,關西鎮,大同里,24,10.74%
新竹縣,關西鎮,石光里,56,9.45%
新竹縣,關西鎮,上林里,57,18.39%
新竹縣,關西鎮,新力里,40,21.13%
新竹縣,關西鎮,南和里,20,8.49%
新竹縣,關西鎮,東山里,28,9.92%
新竹縣,關西鎮,南新里,39,13.04%
新竹縣,關西鎮,東平里,77,21.47%
新竹縣,湖口鄉,孝勢村,52,9.41%
新竹縣,湖口鄉,仁勢村,21,6.11%
新竹縣,湖口鄉,愛勢村,187,12.66%
新竹縣,湖口鄉,信勢村,187,9.13%
新竹縣,湖口鄉,中勢村,102,9.85%
新竹縣,湖口鄉,德盛村,141,8.20%
新竹縣,湖口鄉,和興村,121,11.63%
新竹縣,湖口鄉,長嶺村,141,12.62%
新竹縣,湖口鄉,長安村,28,8.09%
新竹縣,湖口鄉,湖口村,105,10.99%
新竹縣,湖口鄉,湖鏡村,107,10.86%
新竹縣,湖口鄉,湖南村,68,11.54%
新竹縣,湖口鄉,波羅村,124,11.42%
新竹縣,湖口鄉,鳳凰村,270,8.74%
新竹縣,湖口鄉,鳳山村,152,9.65%
新竹縣,湖口鄉,中興村,377,11.15%
新竹縣,湖口鄉,信義村,115,9.53%
新竹縣,湖口鄉,中正村,165,15.95%
新竹縣,湖口鄉,東興村,201,9.99%
新竹縣,湖口鄉,勝利村,148,7.57%
新竹縣,新豐鄉,福興村,41,10.15%
新竹縣,新豐鄉,後湖村,77,12.80%
新竹縣,新豐鄉,青埔村,70,10.63%
新竹縣,新豐鄉,埔和村,121,11.07%
新竹縣,新豐鄉,瑞興村,97,14.17%
新竹縣,新豐鄉,坡頭村,36,12.59%
新竹縣,新豐鄉,中崙村,116,8.88%
新竹縣,新豐鄉,重興村,265,11.90%
新竹縣,新豐鄉,新豐村,78,10.16%
新竹縣,新豐鄉,員山村,145,10.38%
新竹縣,新豐鄉,松林村,208,9.36%
新竹縣,新豐鄉,上坑村,56,10.22%
新竹縣,新豐鄉,鳳坑村,31,9.93%
新竹縣,新豐鄉,忠孝村,117,8.41%
新竹縣,新豐鄉,山崎村,155,9.67%
新竹縣,新豐鄉,松柏村,354,12.40%
新竹縣,新豐鄉,崎頂村,84,9.01%
新竹縣,芎林鄉,五龍村,32,17.82%
新竹縣,芎林鄉,華龍村,27,18.99%
新竹縣,芎林鄉,秀湖村,22,7.14%
新竹縣,芎林鄉,永興村,43,23.71%
新竹縣,芎林鄉,石潭村,81,8.52%
新竹縣,芎林鄉,新鳳村,75,13.14%
新竹縣,芎林鄉,中坑村,56,22.22%
新竹縣,芎林鄉,水坑村,83,24.30%
新竹縣,芎林鄉,文林村,220,17.70%
新竹縣,芎林鄉,芎林村,57,9.53%
新竹縣,芎林鄉,上山村,167,9.76%
新竹縣,芎林鄉,下山村,48,11.95%
新竹縣,橫山鄉,橫山村,128,10.38%
新竹縣,橫山鄉,田寮村,40,13.64%
新竹縣,橫山鄉,南昌村,31,34.38%
新竹縣,橫山鄉,豐鄉村,25,27.03%
新竹縣,橫山鄉,豐田村,23,18.18%
新竹縣,橫山鄉,內灣村,51,11.01%
新竹縣,橫山鄉,福興村,64,33.00%
新竹縣,橫山鄉,沙坑村,38,10.08%
新竹縣,橫山鄉,新興村,64,11.78%
新竹縣,橫山鄉,大肚村,33,6.41%
新竹縣,橫山鄉,力行村,51,15.35%
新竹縣,北埔鄉,北埔村,28,6.47%
新竹縣,北埔鄉,南興村,49,10.76%
新竹縣,北埔鄉,埔尾村,49,5.80%
新竹縣,北埔鄉,水?村,25,8.79%
新竹縣,北埔鄉,南埔村,10,8.45%
新竹縣,北埔鄉,大林村,36,14.18%
新竹縣,北埔鄉,大湖村,46,23.36%
新竹縣,北埔鄉,南坑村,46,27.71%
新竹縣,北埔鄉,外坪村,86,40.00%
新竹縣,寶山鄉,雙溪村,94,8.10%
新竹縣,寶山鄉,大崎村,121,12.99%
新竹縣,寶山鄉,三峰村,46,10.53%
新竹縣,寶山鄉,新城村,26,7.57%
新竹縣,寶山鄉,深井村,15,7.19%
新竹縣,寶山鄉,寶斗村,9,5.45%
新竹縣,寶山鄉,山湖村,47,14.67%
新竹縣,寶山鄉,寶山村,69,18.77%
新竹縣,寶山鄉,油田村,44,18.92%
新竹縣,寶山鄉,雙新村,111,8.85%
新竹縣,峨眉鄉,峨眉村,35,10.42%
新竹縣,峨眉鄉,中盛村,36,16.37%
新竹縣,峨眉鄉,石井村,12,10.47%
新竹縣,峨眉鄉,富興村,75,12.16%
新竹縣,峨眉鄉,七星村,58,21.70%
新竹縣,峨眉鄉,湖光村,60,18.24%
新竹縣,尖石鄉,義興村,27,20.51%
新竹縣,尖石鄉,嘉樂村,45,18.02%
新竹縣,尖石鄉,新樂村,44,15.06%
新竹縣,尖石鄉,梅花村,21,17.19%
新竹縣,尖石鄉,錦屏村,40,13.93%
新竹縣,尖石鄉,玉峰村,19,26.47%
新竹縣,尖石鄉,秀巒村,22,12.50%
新竹縣,五峰鄉,大隘村,55,19.49%
新竹縣,五峰鄉,花園村,48,22.22%
新竹縣,五峰鄉,竹林村,11,18.18%
新竹縣,五峰鄉,桃山村,81,28.79%
