縣市,鄉鎮市區,098宅數,098比率(%)
雲林縣,全區,28916,12.98
雲林縣,斗六市,5339,13.22
雲林縣,斗南鎮,2116,12.87
雲林縣,虎尾鎮,3204,12.30
雲林縣,西螺鎮,1859,12.45
雲林縣,土庫鎮,945,10.21
雲林縣,北港鎮,1904,13.64
雲林縣,古坑鄉,1386,13.77
雲林縣,大埤鄉,769,11.50
雲林縣,莿桐鄉,1077,12.16
雲林縣,林內鄉,860,13.78
雲林縣,二崙鄉,1062,12.61
雲林縣,崙背鄉,1032,13.03
雲林縣,麥寮鄉,904,11.23
雲林縣,東勢鄉,618,13.12
雲林縣,褒忠鄉,495,11.93
雲林縣,臺西鄉,1558,22.52
雲林縣,元長鄉,1014,12.01
雲林縣,四湖鄉,993,14.20
雲林縣,口湖鄉,901,12.75
雲林縣,水林鄉,880,12.08
